generation,run,fitness,strategy
76,0,1.6360301361924077,Normal
77,0,1.6360301361924077,Normal
78,0,1.6360301361924077,Normal
79,0,1.6360301361924077,Normal
80,0,1.6360301361924077,Normal
81,0,1.6360301361924077,Normal
82,0,1.6360301361924077,Normal
83,0,1.6360301361924077,Normal
84,0,1.6360301361924077,Normal
85,0,1.6360301361924077,Normal
86,0,1.6360301361924077,Normal
87,0,1.6360301361924077,Normal
88,0,1.6360301361924077,Normal
89,0,1.6360301361924077,Normal
90,0,1.6360301361924077,Normal
91,0,1.6360301361924077,Normal
92,0,1.6360301361924077,Normal
93,0,1.6360301361924077,Normal
94,0,1.6360301361924077,Normal
95,0,1.6360301361924077,Normal
96,0,1.6360301361924077,Normal
97,0,1.6360301361924077,Normal
98,0,1.6360301361924077,Normal
99,0,1.6360301361924077,Normal
0,1,1.3493726456099682,Normal
1,1,1.3622297884671108,Normal
2,1,1.397774558099102,Normal
3,1,1.397774558099102,Normal
4,1,1.4313735149232105,Normal
5,1,1.4435163720660675,Normal
6,1,1.504944943494639,Normal
7,1,1.5195465082584758,Normal
8,1,1.5559750796870473,Normal
9,1,1.5559750796870473,Normal
10,1,1.5559750796870473,Normal
11,1,1.5559750796870473,Normal
12,1,1.5559750796870473,Normal
13,1,1.5559750796870473,Normal
14,1,1.5559750796870473,Normal
15,1,1.5559750796870473,Normal
16,1,1.5559750796870473,Normal
17,1,1.5559750796870473,Normal
18,1,1.5559750796870473,Normal
19,1,1.5559750796870473,Normal
20,1,1.5559750796870473,Normal
21,1,1.5559750796870473,Normal
22,1,1.5631179368299044,Normal
23,1,1.5631179368299044,Normal
24,1,1.5631179368299044,Normal
25,1,1.5631179368299044,Normal
26,1,1.5631179368299044,Normal
27,1,1.5631179368299044,Normal
28,1,1.5631179368299044,Normal
29,1,1.5631179368299044,Normal
30,1,1.5631179368299044,Normal
31,1,1.5631179368299044,Normal
32,1,1.5631179368299044,Normal
33,1,1.5631179368299044,Normal
34,1,1.5631179368299044,Normal
35,1,1.5746015647638365,Normal
36,1,1.5746015647638365,Normal
37,1,1.5746015647638365,Normal
38,1,1.5746015647638365,Normal
39,1,1.5746015647638365,Normal
40,1,1.5746015647638365,Normal
41,1,1.5746015647638365,Normal
42,1,1.5767444219066935,Normal
43,1,1.5767444219066935,Normal
44,1,1.5767444219066935,Normal
45,1,1.5767444219066935,Normal
46,1,1.5767444219066935,Normal
47,1,1.5767444219066935,Normal
48,1,1.5767444219066935,Normal
49,1,1.5767444219066935,Normal
50,1,1.5767444219066935,Normal
51,1,1.5767444219066935,Normal
52,1,1.5767444219066935,Normal
53,1,1.5767444219066935,Normal
54,1,1.5767444219066935,Normal
55,1,1.5767444219066935,Normal
56,1,1.5767444219066935,Normal
57,1,1.5767444219066935,Normal
58,1,1.5767444219066935,Normal
59,1,1.5767444219066935,Normal
60,1,1.5767444219066935,Normal
61,1,1.5767444219066935,Normal
62,1,1.5767444219066935,Normal
63,1,1.5774587076209792,Normal
64,1,1.5774587076209792,Normal
65,1,1.5774587076209792,Normal
66,1,1.578172993335265,Normal
67,1,1.578172993335265,Normal
68,1,1.578172993335265,Normal
69,1,1.578172993335265,Normal
70,1,1.578172993335265,Normal
71,1,1.578172993335265,Normal
72,1,1.578172993335265,Normal
73,1,1.578172993335265,Normal
74,1,1.578172993335265,Normal
75,1,1.578172993335265,Normal
76,1,1.578172993335265,Normal
77,1,1.578172993335265,Normal
78,1,1.578172993335265,Normal
79,1,1.578172993335265,Normal
80,1,1.578172993335265,Normal
81,1,1.578172993335265,Normal
82,1,1.6024587076209793,Normal
83,1,1.6024587076209793,Normal
84,1,1.6024587076209793,Normal
85,1,1.6024587076209793,Normal
86,1,1.6024587076209793,Normal
87,1,1.6024587076209793,Normal
88,1,1.6024587076209793,Normal
89,1,1.6024587076209793,Normal
90,1,1.6024587076209793,Normal
91,1,1.6024587076209793,Normal
92,1,1.6024587076209793,Normal
93,1,1.6024587076209793,Normal
94,1,1.6024587076209793,Normal
95,1,1.6024587076209793,Normal
96,1,1.6024587076209793,Normal
97,1,1.6024587076209793,Normal
98,1,1.6024587076209793,Normal
99,1,1.6024587076209793,Normal
0,2,1.2678701825557808,Normal
